"","topic1","topic2","topic3","project","projecttype"
"mdfwiki",0.290699450308218,0.698505416206476,0.010795133485306,"mdfwiki","Wikipedia"
"mediawikiwiki",0.998438719750194,0.000780640124902707,0.000780640124902866,"mediawikiwiki","Other"
"metawiki",0.997497528741935,0.00166952317100233,0.000832948087062398,"metawiki","Other"
"mgwiki",0.883942593912393,0.0933120506047998,0.0227453554828071,"mgwiki","Wikipedia"
"mhrwiki",0.0569214313997077,0.934048836265539,0.00902973233475333,"mhrwiki","Wikipedia"
"mhwiki",0.998438719750195,0.000780640124902821,0.000780640124902422,"mhwiki","Wikipedia"
"minwiki",0.863841101832193,0.0805174897763708,0.0556414083914359,"minwiki","Wikipedia"
"mkwiki",0.998321730148494,0.0006145506594947,0.0010637191920116,"mkwiki","Wikipedia"
"mlwiki",0.99833808561173,0.000695217167413823,0.000966697220855897,"mlwiki","Wikipedia"
"mlwikiquote",0.596245595869309,0.360266644085842,0.0434877600448491,"mlwikiquote","Wikiquote"
"mlwikisource",0.60835177544977,0.129114303069256,0.262533921480974,"mlwikisource","Wikisource"
"mnwiki",0.97481153894886,0.00643077966663224,0.0187576813845077,"mnwiki","Wikipedia"
"mrjwiki",0.129485682548107,0.841484248455544,0.029030068996349,"mrjwiki","Wikipedia"
"mrwiki",0.991230741855018,0.00280666728014289,0.0059625908648392,"mrwiki","Wikipedia"
"mrwikisource",0.000780640124902882,0.998438719750194,0.000780640124902816,"mrwikisource","Wikisource"
"mswiki",0.989809937028989,0.00910145420069462,0.00108860877031628,"mswiki","Wikipedia"
"mtwiki",0.943483743367847,0.0478456556870202,0.00867060094513316,"mtwiki","Wikipedia"
"mwlwiki",0.95305876033711,0.0153288231422589,0.0316124165206311,"mwlwiki","Wikipedia"
"myvwiki",0.228226158726277,0.105219233517238,0.666554607756485,"myvwiki","Wikipedia"
"mywiki",0.983410038418577,0.00858284501252847,0.00800711656889445,"mywiki","Wikipedia"
"mznwiki",0.954685287065143,0.0321590256654801,0.0131556872693771,"mznwiki","Wikipedia"
"nahwiki",0.866585302136224,0.020566234126309,0.112848463737467,"nahwiki","Wikipedia"
"napwiki",0.830468140462028,0.128521938509092,0.04100992102888,"napwiki","Wikipedia"
"nawiki",0.194192995081804,0.750821704886646,0.0549853000315504,"nawiki","Wikipedia"
"nds_nlwiki",0.817067642144002,0.134119573612969,0.0488127842430288,"nds_nlwiki","Wikipedia"
"ndswiki",0.848812914676469,0.00911542556215961,0.142071659761371,"ndswiki","Wikipedia"
"newiki",0.99810802193013,0.00177785973521761,0.000114118334652145,"newiki","Wikipedia"
"newwiki",0.961479636438654,0.0200091892595132,0.0185111743018332,"newwiki","Wikipedia"
"ngwiki",0.0704001783741374,0.894498208729227,0.0351016128966353,"ngwiki","Wikipedia"
"nlwiki",0.999179191203525,0.000429268001168272,0.000391540795306877,"nlwiki","Wikipedia"
"nlwikibooks",0.961296767955354,0.0045820281260579,0.0341212039185886,"nlwikibooks","Wikibooks"
"nlwikiquote",0.955775338753459,0.0248118363904358,0.0194128248561052,"nlwikiquote","Wikiquote"
"nlwikisource",0.96896249208965,0.0131831189365596,0.017854388973791,"nlwikisource","Wikisource"
"nnwiki",0.956742714178823,0.00103194303268323,0.0422253427884941,"nnwiki","Wikipedia"
"nnwikiquote",0.796515307508803,0.110991733301949,0.0924929591892486,"nnwikiquote","Wikiquote"
"novwiki",0.419584348060569,0.343251839641885,0.237163812297546,"novwiki","Wikipedia"
"nowiki",0.993826456411089,0.00510789258282082,0.00106565100609023,"nowiki","Wikipedia"
"nowikibooks",0.000780640124902882,0.998438719750194,0.000780640124902816,"nowikibooks","Wikibooks"
"nowikiquote",0.774219271738371,0.202764482372205,0.0230162458894241,"nowikiquote","Wikiquote"
"nowikisource",0.909609737483786,0.0901279424920852,0.00026232002412919,"nowikisource","Wikisource"
"nrmwiki",0.000780640124902882,0.998438719750194,0.000780640124902816,"nrmwiki","Wikipedia"
"nsowiki",0.538549765663024,0.419701251083747,0.0417489832532289,"nsowiki","Wikipedia"
"nvwiki",0.696119460728219,0.0552111857316047,0.248669353540177,"nvwiki","Wikipedia"
"nywiki",0.000780640124902882,0.998438719750194,0.000780640124902816,"nywiki","Wikipedia"
"ocwiki",0.973432373970874,0.00122336254587403,0.0253442634832525,"ocwiki","Wikipedia"
"olowiki",0.00760852057480498,0.984461707121092,0.00792977230410296,"olowiki","Wikipedia"
"omwiki",0.000780640124902882,0.998438719750194,0.000780640124902816,"omwiki","Wikipedia"
"orwiki",0.992616093587275,0.00666129064012674,0.000722615772598725,"orwiki","Wikipedia"
"oswiki",0.847023103020885,0.136771513439,0.0162053835401148,"oswiki","Wikipedia"
"pagwiki",0.000780640124902882,0.998438719750194,0.000780640124902816,"pagwiki","Wikipedia"
"pamwiki",0.943623509639086,0.050887642298611,0.00548884806230259,"pamwiki","Wikipedia"
"papwiki",0.267597949005024,0.714503849677619,0.0178982013173567,"papwiki","Wikipedia"
"pawiki",0.998400301367268,0.000934306495352849,0.000665392137379397,"pawiki","Wikipedia"
"pcdwiki",0.880258274441491,0.017353486351034,0.102388239207475,"pcdwiki","Wikipedia"
"pdcwiki",0.0704001783741374,0.894498208729227,0.0351016128966353,"pdcwiki","Wikipedia"
"pflwiki",0.636284383646588,0.318929006342149,0.0447866100112628,"pflwiki","Wikipedia"
"plwiki",0.998654583094591,0.000856020298384071,0.000489396607025118,"plwiki","Wikipedia"
"plwikibooks",0.00026081724334524,0.000261260053017777,0.999477922703637,"plwikibooks","Wikibooks"
